"","Species","Block","Sex","Year","Quota","Adult.Body.Mass.Kg","quota_weight"
"96","Buffalo","Fuller","Male",2011,6,646.33299,3877.99794
"97","Buffalo","Matetsi 3","Male",2007,13,646.33299,8402.32887
"98","Buffalo","Matetsi 1","Female",2010,6,646.33299,3877.99794
"99","Buffalo","Matetsi 1","Female",2011,6,646.33299,3877.99794
"100","Buffalo","Matetsi 6","Female",2009,3,646.33299,1938.99897
"101","Buffalo","Hwange 1","Male",2007,4,646.33299,2585.33196
"102","Buffalo","Fuller","Male",2008,6,646.33299,3877.99794
"103","Buffalo","Deka Tail","Male",2005,NA,646.33299,NA
"104","Buffalo","Matetsi 6","Female",2004,NA,646.33299,NA
"105","Buffalo","Deka Tail","Male",2006,NA,646.33299,NA
"106","Buffalo","Fuller","Male",2007,5,646.33299,3231.66495
"107","Buffalo","Deka Pool","Male",2005,NA,646.33299,NA
"108","Buffalo","Matetsi 6","Female",2015,0,646.33299,0
"109","Buffalo","Matetsi 2","Female",2000,NA,646.33299,NA
"110","Buffalo","Matetsi 1","Male",2000,15,646.33299,9694.99485
"111","Buffalo","Matetsi 3","Male",2015,12,646.33299,7755.99588
"112","Buffalo","Matetsi 4","Male",2003,NA,646.33299,NA
"113","Buffalo","Matetsi 4","Male",2004,NA,646.33299,NA
"114","Buffalo","Matetsi 4","Male",2005,NA,646.33299,NA
"115","Buffalo","Deka Tail","Male",2008,8,646.33299,5170.66392
"116","Buffalo","Matetsi 2","Male",2003,NA,646.33299,NA
"117","Buffalo","Fuller","Male",2009,6,646.33299,3877.99794
"118","Buffalo","Matetsi 6","Female",2003,NA,646.33299,NA
"119","Buffalo","Deka Pool","Male",2006,6,646.33299,3877.99794
"120","Buffalo","Fuller","Male",2005,6,646.33299,3877.99794
"121","Buffalo","Fuller","Male",2004,6,646.33299,3877.99794
"122","Buffalo","Matetsi 5","Male",2011,15,646.33299,9694.99485
"123","Buffalo","Matetsi 4","Male",2011,10,646.33299,6463.3299
"124","Buffalo","Matetsi 2","Male",2008,12,646.33299,7755.99588
"125","Buffalo","Matetsi 6","Male",2010,14,646.33299,9048.66186
"126","Buffalo","Fuller","Male",2018,0,646.33299,0
"127","Buffalo","Kazuma","Male",2008,16,646.33299,10341.32784
"128","Buffalo","Matetsi 1","Male",2012,23,646.33299,14865.65877
"129","Buffalo","Hwange 1","Male",2008,4,646.33299,2585.33196
"130","Buffalo","Matetsi 2","Female",2018,0,646.33299,0
"131","Buffalo","Matetsi 2","Female",2016,0,646.33299,0
"132","Buffalo","Matetsi 1","Male",2014,23,646.33299,14865.65877
"133","Buffalo","Deka Pool","Male",2004,NA,646.33299,NA
"134","Buffalo","Matetsi 3","Male",2004,NA,646.33299,NA
"135","Buffalo","Fuller","Male",2003,6,646.33299,3877.99794
"136","Buffalo","Matetsi 1","Female",2008,6,646.33299,3877.99794
"137","Buffalo","Matetsi 3","Male",2005,NA,646.33299,NA
"138","Buffalo","Matetsi 1","Female",2007,4,646.33299,2585.33196
"139","Buffalo","Matetsi 5","Female",2015,0,646.33299,0
"140","Buffalo","Matetsi 2","Female",2001,NA,646.33299,NA
"141","Buffalo","Deka Tail","Male",2001,NA,646.33299,NA
"142","Buffalo","Deka Pool","Male",2012,8,646.33299,5170.66392
"143","Buffalo","Matetsi 1","Male",2013,23,646.33299,14865.65877
"144","Buffalo","Deka Pool","Male",2011,8,646.33299,5170.66392
"145","Buffalo","Deka Tail","Female",2005,NA,646.33299,NA
"146","Buffalo","Matetsi 1","Male",2015,20,646.33299,12926.6598
"147","Buffalo","Matetsi 2","Male",2001,NA,646.33299,NA
"148","Buffalo","Matetsi 1","Female",2005,4,646.33299,2585.33196
"149","Buffalo","Matetsi 2","Female",2009,3,646.33299,1938.99897
"150","Buffalo","Hwange 1","Male",2000,NA,646.33299,NA
"151","Buffalo","Hwange 1","Male",2001,NA,646.33299,NA
"152","Buffalo","Matetsi 3","Male",2016,12,646.33299,7755.99588
"153","Buffalo","Matetsi 2","Female",2012,0,646.33299,0
"154","Buffalo","Matetsi 3","Male",2018,12,646.33299,7755.99588
"155","Buffalo","Hwange 2","Male",2018,3,646.33299,1938.99897
"156","Buffalo","Deka Pool","Male",2017,9,646.33299,5816.99691
"157","Buffalo","Matetsi 2","Female",2017,0,646.33299,0
"158","Buffalo","Matetsi 4","Male",2008,13,646.33299,8402.32887
"159","Buffalo","Matetsi 3","Male",2003,NA,646.33299,NA
"160","Buffalo","Matetsi 3","Male",2002,NA,646.33299,NA
