"","year","country","land_use_tenure","lu_detail","lc_class","description","area_km2"
"2613",1994,"BW","Forest (State)","Forestry","30","Crop-tree mosaic",58.151808
"2614",1998,"ZW","Mixed (Private)","Arable/pastoral/built","30","Crop-tree mosaic",1.69982208
"2615",2009,"BW","Wildlife (State)","Wildlife","30","Crop-tree mosaic",1.7892864
"2616",2017,"ZW","Mixed (Private)","Pastoral/bush/built","30","Crop-tree mosaic",0.17892864
"2617",2003,"ZW","Mixed (Private)","Wildlife","30","Crop-tree mosaic",0.98410752
"2618",1995,"ZW","Forest (State)","Forestry","30","Crop-tree mosaic",0.53678592
"2619",2016,"ZW","Mixed (Private)","Pastoral/bush/built","30","Crop-tree mosaic",1.52089344
"2620",1992,"BW","Mixed (Private)","Arable/pastoral/built","30","Crop-tree mosaic",6.35196672
"2621",1995,"BW","Mixed (Private)","Arable/pastoral/built","30","Crop-tree mosaic",6.35196672
"2622",2001,"ZW","Mixed (Private)","Pastoral/bush/built","30","Crop-tree mosaic",0.17892864
"2623",2013,"ZW","Forest (State)","Forestry","30","Crop-tree mosaic",5.90464512
"2624",2000,"BW","Mixed (Private)","Arable/pastoral/built","30","Crop-tree mosaic",6.35196672
"2625",1993,"ZW","Mixed (Communal)","Arable/pastoral/built","30","Crop-tree mosaic",4.0258944
"2626",1998,"ZW","Mixed (Private)","Pastoral/bush/built","30","Crop-tree mosaic",0.17892864
"2627",2011,"BW","Forest (State)","Forestry","30","Crop-tree mosaic",57.43609344
"2628",1999,"ZW","Mixed (Private)","Pastoral/bush/built","30","Crop-tree mosaic",1.43142912
"2629",1997,"ZW","Wildlife (State)","Wildlife","30","Crop-tree mosaic",536.42806272
"2630",1996,"ZW","Forest (State)","Forestry","30","Crop-tree mosaic",25.58679552
"2631",2011,"ZW","Forest (State)","Forestry","30","Crop-tree mosaic",24.69215232
"2632",2009,"ZW","Mixed (Private)","Arable/pastoral/built/mining","30","Crop-tree mosaic",5.8151808
"2633",1993,"BW","Forest (State)","Forestry","30","Crop-tree mosaic",58.151808
"2634",2004,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",0.26839296
"2635",1997,"ZW","Forest (State)","Forestry","60","Woodland",0.17892864
"2636",2002,"ZW","Wildlife (Private)","Wildlife","60","Woodland",10.02000384
"2637",2007,"ZW","Wildlife (Communal)","Wildlife","60","Woodland",181.165248
"2638",2017,"ZW","Wildlife (State)","Wildlife","60","Woodland",91.96932096
"2639",1999,"ZW","Forest (State)","Forestry","60","Woodland",63.16180992
"2640",2012,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",0.26839296
"2641",1993,"ZW","Mixed (Communal)","Arable/pastoral/built","60","Woodland",30.32840448
"2642",1998,"ZW","Wildlife (State)","Wildlife","60","Woodland",84.36485376
"2643",1996,"ZW","Mixed (Private)","Pastoral/bush/built","60","Woodland",15.74572032
"2644",2009,"ZW","Mixed (Private)","Pastoral/bush/built","60","Woodland",1.87875072
"2645",2011,"ZW","Wildlife (Private)","Wildlife","60","Woodland",10.82518272
"2646",2009,"ZW","Mixed (Communal)","Arable/pastoral/built","60","Woodland",17.53500672
"2647",1999,"ZW","Mixed (Private)","Pastoral/bush/built","60","Woodland",1.87875072
"2648",2012,"ZW","Mixed (Communal)","Arable/pastoral/built","60","Woodland",75.86574336
"2649",2005,"ZW","Forest (State)","Forestry","60","Woodland",63.16180992
"2650",1992,"ZW","Forest (State)","Forestry","60","Woodland",117.91397376
"2651",1994,"BW","Wildlife (State)","Wildlife","60","Woodland",0.4473216
"2652",2018,"ZW","Mixed (Private)","Pastoral/bush/built","60","Woodland",15.656256
"2653",2004,"ZW","Mixed (Communal)","Arable/pastoral/built","60","Woodland",19.05590016
"2654",2002,"ZW","Forest (State)","Forestry","60","Woodland",63.16180992
"2655",1992,"ZW","Wildlife (State)","Wildlife","60","Woodland",96.97932288
