"","year","country","land_use_tenure","lu_detail","lc_class","description","area_km2"
"1763",2007,"ZW","Mixed (Private)","Arable/pastoral/built/mining","180","Flooded Vegetation",1.16303616
"1764",2014,"ZW","Mixed (Private)","Arable/pastoral/built","180","Flooded Vegetation",0.17892864
"1765",2010,"ZW","Wildlife (State)","Wildlife","180","Flooded Vegetation",0.17892864
"1766",2009,"ZW","Mixed (Private)","Arable/pastoral/built","180","Flooded Vegetation",0.17892864
"1767",2001,"ZW","Wildlife (Communal)","Wildlife","180","Flooded Vegetation",1.69982208
"1768",2004,"ZW","Wildlife (Communal)","Wildlife","180","Flooded Vegetation",1.69982208
"1769",2002,"ZW","Mixed (Private)","Arable/pastoral/built","180","Flooded Vegetation",0.17892864
"1770",2000,"ZW","Mixed (Private)","Arable/pastoral/built","180","Flooded Vegetation",0.17892864
"1771",1994,"ZW","Mixed (Private)","Arable/pastoral/built","180","Flooded Vegetation",0.17892864
"1772",2015,"ZW","Wildlife (Communal)","Wildlife","180","Flooded Vegetation",1.69982208
"1773",2007,"ZW","Mixed (Private)","Arable/pastoral/built","180","Flooded Vegetation",0.17892864
"1774",2002,"ZW","Wildlife (Communal)","Wildlife","180","Flooded Vegetation",1.69982208
"1775",1992,"ZW","Wildlife (Communal)","Wildlife","180","Flooded Vegetation",1.69982208
"1776",2013,"ZW","Wildlife (Communal)","Wildlife","180","Flooded Vegetation",1.69982208
"1777",2012,"ZW","Wildlife (State)","Wildlife","180","Flooded Vegetation",0.17892864
"1778",1992,"ZW","Wildlife (State)","Wildlife","180","Flooded Vegetation",0.17892864
"1779",1999,"ZW","Mixed (Private)","Arable/pastoral/built/mining","180","Flooded Vegetation",1.3419648
"1780",1999,"ZW","Wildlife (Communal)","Wildlife","180","Flooded Vegetation",1.69982208
"1781",2008,"ZW","Mixed (Private)","Arable/pastoral/built/mining","180","Flooded Vegetation",1.16303616
"1782",2014,"ZW","Wildlife (Communal)","Wildlife","180","Flooded Vegetation",1.69982208
"1783",1993,"ZW","Wildlife (State)","Wildlife","180","Flooded Vegetation",0.17892864
"1784",2008,"ZW","Wildlife (Communal)","Wildlife","180","Flooded Vegetation",1.69982208
"1785",2017,"ZW","Wildlife (State)","Wildlife","180","Flooded Vegetation",0.35785728
"1786",2009,"ZW","Mixed (Private)","Arable/pastoral/built/mining","180","Flooded Vegetation",1.16303616
"1787",1995,"ZW","Mixed (Private)","Arable/pastoral/built/mining","180","Flooded Vegetation",1.3419648
"1788",1997,"ZW","Wildlife (Communal)","Wildlife","180","Flooded Vegetation",1.69982208
"1789",2001,"ZW","Mixed (Private)","Arable/pastoral/built","180","Flooded Vegetation",0.17892864
"1790",2002,"ZW","Wildlife (State)","Wildlife","180","Flooded Vegetation",0.17892864
"1791",2009,"ZW","Wildlife (Communal)","Wildlife","180","Flooded Vegetation",1.69982208
"1792",2011,"ZW","Mixed (Private)","Arable/pastoral/built","180","Flooded Vegetation",0.17892864
"1793",2015,"ZW","Mixed (Private)","Arable/pastoral/built","180","Flooded Vegetation",0.17892864
"1794",2016,"ZW","Wildlife (Communal)","Wildlife","180","Flooded Vegetation",1.69982208
"1795",2004,"ZW","Mixed (Private)","Arable/pastoral/built/mining","180","Flooded Vegetation",1.16303616
"1796",2003,"ZW","Wildlife (Communal)","Wildlife","180","Flooded Vegetation",1.69982208
"1797",2014,"ZW","Wildlife (State)","Wildlife","180","Flooded Vegetation",0.17892864
"1798",2012,"ZW","Mixed (Private)","Arable/pastoral/built","180","Flooded Vegetation",0.17892864
"1799",2010,"ZW","Mixed (Private)","Arable/pastoral/built","180","Flooded Vegetation",0.17892864
"1800",2010,"ZW","Mixed (Private)","Arable/pastoral/built/mining","180","Flooded Vegetation",1.16303616
"1801",2000,"ZW","Wildlife (Communal)","Wildlife","180","Flooded Vegetation",1.69982208
"1802",2006,"ZW","Wildlife (Communal)","Wildlife","180","Flooded Vegetation",1.69982208
"1803",2011,"ZW","Mixed (Private)","Arable/pastoral/built/mining","180","Flooded Vegetation",1.16303616
"1804",1993,"ZW","Mixed (Private)","Arable/pastoral/built/mining","180","Flooded Vegetation",1.3419648
"1805",2013,"ZW","Wildlife (State)","Wildlife","180","Flooded Vegetation",0.17892864
"1806",2018,"ZW","Wildlife (State)","Wildlife","180","Flooded Vegetation",0.35785728
"1807",1992,"ZW","Mixed (Private)","Arable/pastoral/built","180","Flooded Vegetation",0.17892864
"1808",2011,"ZW","Wildlife (State)","Wildlife","180","Flooded Vegetation",0.17892864
"1809",1999,"ZW","Mixed (Private)","Arable/pastoral/built","180","Flooded Vegetation",0.17892864
"1810",2007,"ZW","Wildlife (Communal)","Wildlife","180","Flooded Vegetation",1.69982208
"1811",2000,"ZW","Wildlife (State)","Wildlife","180","Flooded Vegetation",0.17892864
"1812",2010,"BW","Mixed (Private)","Arable/pastoral/built","190","Built areas",0.17892864
"1813",2002,"ZW","Mixed (Private)","Mining/pastoral/bush/built","190","Built areas",5.63625216
"1814",2015,"ZW","Mixed (Private)","Mining/pastoral/bush/built","190","Built areas",5.99410944
"1815",1992,"ZW","Mixed (Private)","Arable/pastoral/built/mining","190","Built areas",10.82518272
"1816",2009,"BW","Mixed (Private)","Arable/pastoral/built","190","Built areas",0.17892864
"1817",2003,"ZW","Mixed (Private)","Arable/pastoral/built/mining","190","Built areas",13.8669696
"1818",2001,"ZW","Mixed (Private)","Arable/pastoral/built/mining","190","Built areas",13.8669696
"1819",2018,"ZW","Mixed (Private)","Arable/pastoral/built/mining","190","Built areas",25.13947392
"1820",2017,"ZW","Mixed (Private)","Arable/pastoral/built/mining","190","Built areas",18.69804288
"1821",2000,"ZW","Mixed (Private)","Arable/pastoral/built/mining","190","Built areas",13.8669696
"1822",1996,"ZW","Mixed (Private)","Arable/pastoral/built/mining","190","Built areas",11.98821888
"1823",1999,"ZW","Mixed (Private)","Arable/pastoral/built/mining","190","Built areas",13.15125504
"1824",2015,"ZW","Mixed (Private)","Arable/pastoral/built/mining","190","Built areas",14.3142912
"1825",2017,"ZW","Mixed (Private)","Mining/pastoral/bush/built","190","Built areas",7.51500288
"1826",2000,"ZW","Mixed (Private)","Mining/pastoral/bush/built","190","Built areas",5.63625216
"1827",1998,"ZW","Mixed (Private)","Arable/pastoral/built/mining","190","Built areas",12.70393344
"1828",1999,"BW","Mixed (Private)","Arable/pastoral/built","190","Built areas",0.08946432
"1829",2007,"ZW","Mixed (Private)","Mining/pastoral/bush/built","190","Built areas",5.8151808
"1830",2004,"ZW","Mixed (Private)","Arable/pastoral/built/mining","190","Built areas",13.95643392
"1831",2017,"BW","Mixed (Private)","Arable/pastoral/built","190","Built areas",0.17892864
"1832",2018,"ZW","Mixed (Private)","Mining/pastoral/bush/built","190","Built areas",7.78339584
"1833",2001,"BW","Mixed (Private)","Arable/pastoral/built","190","Built areas",0.17892864
"1834",1995,"ZW","Mixed (Private)","Arable/pastoral/built/mining","190","Built areas",11.54089728
"1835",2012,"ZW","Mixed (Private)","Arable/pastoral/built/mining","190","Built areas",14.13536256
"1836",2008,"ZW","Mixed (Private)","Arable/pastoral/built/mining","190","Built areas",14.13536256
"1837",1993,"ZW","Mixed (Private)","Mining/pastoral/bush/built","190","Built areas",4.56268032
"1838",2015,"BW","Mixed (Private)","Arable/pastoral/built","190","Built areas",0.17892864
"1839",2003,"BW","Mixed (Private)","Arable/pastoral/built","190","Built areas",0.17892864
"1840",2008,"ZW","Mixed (Private)","Mining/pastoral/bush/built","190","Built areas",5.8151808
"1841",1998,"ZW","Mixed (Private)","Mining/pastoral/bush/built","190","Built areas",5.54678784
"1842",2008,"BW","Mixed (Private)","Arable/pastoral/built","190","Built areas",0.17892864
"1843",2011,"BW","Mixed (Private)","Arable/pastoral/built","190","Built areas",0.17892864
"1844",2004,"BW","Mixed (Private)","Arable/pastoral/built","190","Built areas",0.17892864
"1845",2009,"ZW","Mixed (Private)","Mining/pastoral/bush/built","190","Built areas",5.90464512
"1846",2013,"ZW","Mixed (Private)","Mining/pastoral/bush/built","190","Built areas",5.99410944
"1847",1999,"ZW","Mixed (Private)","Mining/pastoral/bush/built","190","Built areas",5.54678784
"1848",2001,"ZW","Mixed (Private)","Mining/pastoral/bush/built","190","Built areas",5.63625216
"1849",2011,"ZW","Mixed (Private)","Arable/pastoral/built/mining","190","Built areas",14.13536256
"1850",2018,"BW","Mixed (Private)","Arable/pastoral/built","190","Built areas",0.17892864
"1851",2013,"BW","Mixed (Private)","Arable/pastoral/built","190","Built areas",0.17892864
"1852",2007,"BW","Mixed (Private)","Arable/pastoral/built","190","Built areas",0.17892864
"1853",2012,"ZW","Mixed (Private)","Mining/pastoral/bush/built","190","Built areas",5.90464512
"1854",1998,"BW","Mixed (Private)","Arable/pastoral/built","190","Built areas",0.08946432
"1855",1997,"ZW","Mixed (Private)","Arable/pastoral/built/mining","190","Built areas",12.25661184
"1856",2016,"ZW","Mixed (Private)","Arable/pastoral/built/mining","190","Built areas",15.47732736
"1857",2007,"ZW","Mixed (Private)","Arable/pastoral/built/mining","190","Built areas",14.13536256
"1858",2016,"BW","Mixed (Private)","Arable/pastoral/built","190","Built areas",0.17892864
"1859",2005,"ZW","Mixed (Private)","Mining/pastoral/bush/built","190","Built areas",5.63625216
"1860",2014,"ZW","Mixed (Private)","Arable/pastoral/built/mining","190","Built areas",14.13536256
"1861",2006,"ZW","Mixed (Private)","Arable/pastoral/built/mining","190","Built areas",14.13536256
"1862",2012,"BW","Mixed (Private)","Arable/pastoral/built","190","Built areas",0.17892864
"1863",2016,"ZW","Mixed (Private)","Mining/pastoral/bush/built","190","Built areas",6.709824
"1864",2011,"ZW","Mixed (Private)","Mining/pastoral/bush/built","190","Built areas",5.90464512
"1865",1997,"BW","Mixed (Private)","Arable/pastoral/built","190","Built areas",0.08946432
"1866",2009,"ZW","Mixed (Private)","Arable/pastoral/built/mining","190","Built areas",14.13536256
"1867",2014,"ZW","Mixed (Private)","Mining/pastoral/bush/built","190","Built areas",5.99410944
"1868",2014,"BW","Mixed (Private)","Arable/pastoral/built","190","Built areas",0.17892864
"1869",2000,"BW","Mixed (Private)","Arable/pastoral/built","190","Built areas",0.17892864
"1870",2010,"ZW","Mixed (Private)","Arable/pastoral/built/mining","190","Built areas",14.13536256
"1871",2002,"BW","Mixed (Private)","Arable/pastoral/built","190","Built areas",0.17892864
"1872",1995,"ZW","Mixed (Private)","Mining/pastoral/bush/built","190","Built areas",4.9205376
"1873",2003,"ZW","Mixed (Private)","Mining/pastoral/bush/built","190","Built areas",5.63625216
"1874",1994,"ZW","Mixed (Private)","Arable/pastoral/built/mining","190","Built areas",11.45143296
"1875",2002,"ZW","Mixed (Private)","Arable/pastoral/built/mining","190","Built areas",13.8669696
"1876",1996,"ZW","Mixed (Private)","Mining/pastoral/bush/built","190","Built areas",5.18893056
"1877",2010,"ZW","Mixed (Private)","Mining/pastoral/bush/built","190","Built areas",5.90464512
"1878",1994,"ZW","Mixed (Private)","Mining/pastoral/bush/built","190","Built areas",4.65214464
"1879",2013,"ZW","Mixed (Private)","Arable/pastoral/built/mining","190","Built areas",14.13536256
"1880",2006,"ZW","Mixed (Private)","Mining/pastoral/bush/built","190","Built areas",5.63625216
"1881",2006,"BW","Mixed (Private)","Arable/pastoral/built","190","Built areas",0.17892864
"1882",2005,"ZW","Mixed (Private)","Arable/pastoral/built/mining","190","Built areas",14.13536256
"1883",2005,"BW","Mixed (Private)","Arable/pastoral/built","190","Built areas",0.17892864
"1884",1993,"ZW","Mixed (Private)","Arable/pastoral/built/mining","190","Built areas",11.18304
"1885",1997,"ZW","Mixed (Private)","Mining/pastoral/bush/built","190","Built areas",5.45732352
"1886",2004,"ZW","Mixed (Private)","Mining/pastoral/bush/built","190","Built areas",5.63625216
"1887",1992,"ZW","Mixed (Private)","Mining/pastoral/bush/built","190","Built areas",4.56268032
"1888",1995,"BW","Mixed (Private)","Arable/pastoral/built","200","Bare areas",5.54678784
"1889",2011,"BW","Mixed (Private)","Arable/pastoral/built","200","Bare areas",5.27839488
"1890",2006,"ZW","Mixed (Private)","Arable/pastoral/built/mining","200","Bare areas",8.76750336
"1891",2012,"BW","Wildlife (State)","Wildlife","200","Bare areas",0.35785728
"1892",1992,"ZW","Mixed (Private)","Arable/pastoral/built/mining","200","Bare areas",8.946432
"1893",2000,"ZW","Mixed (Private)","Arable/pastoral/built/mining","200","Bare areas",8.76750336
"1894",2015,"ZW","Mixed (Private)","Arable/pastoral/built/mining","200","Bare areas",8.4991104
"1895",2017,"ZW","Mixed (Private)","Mining/pastoral/bush/built","200","Bare areas",0.17892864
"1896",1997,"BW","Commercial Agriculture (Private)","Commercial Agriculture","200","Bare areas",8.23071744
"1897",1993,"BW","Mixed (Private)","Arable/pastoral/built","200","Bare areas",5.54678784
"1898",2003,"BW","Wildlife (State)","Wildlife","200","Bare areas",0.35785728
"1899",2010,"BW","Mixed (Private)","Arable/pastoral/built","200","Bare areas",5.27839488
"1900",2002,"BW","Commercial Agriculture (Private)","Commercial Agriculture","200","Bare areas",8.23071744
"1901",1999,"ZW","Mixed (Private)","Arable/pastoral/built/mining","200","Bare areas",8.76750336
"1902",1996,"ZW","Mixed (Private)","Mining/pastoral/bush/built","200","Bare areas",0.35785728
"1903",2017,"ZW","Mixed (Private)","Arable/pastoral/built/mining","200","Bare areas",6.53089536
"1904",1993,"BW","Commercial Agriculture (Private)","Commercial Agriculture","200","Bare areas",8.23071744
"1905",2013,"BW","Mixed (Private)","Arable/pastoral/built","200","Bare areas",5.27839488
"1906",1995,"ZW","Mixed (Private)","Arable/pastoral/built/mining","200","Bare areas",8.85696768
"1907",2001,"BW","Commercial Agriculture (Private)","Commercial Agriculture","200","Bare areas",8.23071744
"1908",2011,"BW","Commercial Agriculture (Private)","Commercial Agriculture","200","Bare areas",8.85696768
"1909",2003,"BW","Mixed (Private)","Arable/pastoral/built","200","Bare areas",5.54678784
"1910",2015,"BW","Wildlife (State)","Wildlife","200","Bare areas",0.35785728
"1911",1997,"ZW","Mixed (Private)","Mining/pastoral/bush/built","200","Bare areas",0.35785728
"1912",2001,"ZW","Mixed (Private)","Arable/pastoral/built/mining","200","Bare areas",8.76750336
"1913",2003,"ZW","Mixed (Private)","Arable/pastoral/built/mining","200","Bare areas",8.76750336
"1914",1994,"ZW","Mixed (Private)","Arable/pastoral/built/mining","200","Bare areas",8.85696768
"1915",2009,"BW","Mixed (Private)","Arable/pastoral/built","200","Bare areas",5.27839488
"1916",2002,"BW","Mixed (Private)","Arable/pastoral/built","200","Bare areas",5.54678784
"1917",1999,"ZW","Mixed (Private)","Mining/pastoral/bush/built","200","Bare areas",0.35785728
"1918",2008,"BW","Commercial Agriculture (Private)","Commercial Agriculture","200","Bare areas",8.23071744
"1919",2012,"ZW","Mixed (Private)","Mining/pastoral/bush/built","200","Bare areas",0.35785728
"1920",1995,"BW","Commercial Agriculture (Private)","Commercial Agriculture","200","Bare areas",8.23071744
"1921",2004,"ZW","Mixed (Private)","Mining/pastoral/bush/built","200","Bare areas",0.35785728
"1922",2009,"ZW","Mixed (Private)","Arable/pastoral/built/mining","200","Bare areas",8.4991104
"1923",2005,"ZW","Mixed (Private)","Arable/pastoral/built/mining","200","Bare areas",8.76750336
"1924",2013,"ZW","Mixed (Private)","Arable/pastoral/built/mining","200","Bare areas",8.4991104
"1925",2017,"BW","Mixed (Private)","Arable/pastoral/built","200","Bare areas",5.27839488
"1926",2013,"ZW","Mixed (Private)","Mining/pastoral/bush/built","200","Bare areas",0.35785728
"1927",2004,"BW","Wildlife (State)","Wildlife","200","Bare areas",0.35785728
"1928",2016,"ZW","Mixed (Private)","Arable/pastoral/built/mining","200","Bare areas",8.40964608
"1929",1999,"BW","Commercial Agriculture (Private)","Commercial Agriculture","200","Bare areas",8.23071744
"1930",2001,"BW","Wildlife (State)","Wildlife","200","Bare areas",0.35785728
"1931",1997,"BW","Mixed (Private)","Arable/pastoral/built","200","Bare areas",5.54678784
"1932",2012,"BW","Mixed (Private)","Arable/pastoral/built","200","Bare areas",5.27839488
"1933",2004,"BW","Commercial Agriculture (Private)","Commercial Agriculture","200","Bare areas",8.23071744
"1934",1998,"BW","Mixed (Private)","Arable/pastoral/built","200","Bare areas",5.54678784
"1935",1999,"BW","Mixed (Private)","Arable/pastoral/built","200","Bare areas",5.54678784
"1936",2005,"BW","Commercial Agriculture (Private)","Commercial Agriculture","200","Bare areas",8.23071744
"1937",2002,"ZW","Mixed (Private)","Mining/pastoral/bush/built","200","Bare areas",0.35785728
"1938",2007,"ZW","Mixed (Private)","Arable/pastoral/built/mining","200","Bare areas",8.76750336
"1939",2008,"BW","Mixed (Private)","Arable/pastoral/built","200","Bare areas",5.54678784
"1940",2018,"ZW","Mixed (Private)","Mining/pastoral/bush/built","200","Bare areas",0.17892864
"1941",2000,"BW","Mixed (Private)","Arable/pastoral/built","200","Bare areas",5.54678784
"1942",2001,"BW","Mixed (Private)","Arable/pastoral/built","200","Bare areas",5.54678784
"1943",2014,"ZW","Mixed (Private)","Arable/pastoral/built/mining","200","Bare areas",8.4991104
"1944",2008,"ZW","Mixed (Private)","Arable/pastoral/built/mining","200","Bare areas",8.76750336
"1945",2011,"BW","Wildlife (State)","Wildlife","200","Bare areas",0.35785728
"1946",1998,"ZW","Mixed (Private)","Arable/pastoral/built/mining","200","Bare areas",8.76750336
"1947",2014,"ZW","Mixed (Private)","Mining/pastoral/bush/built","200","Bare areas",0.35785728
"1948",2014,"BW","Wildlife (State)","Wildlife","200","Bare areas",0.35785728
"1949",2002,"ZW","Mixed (Private)","Arable/pastoral/built/mining","200","Bare areas",8.76750336
"1950",2010,"BW","Commercial Agriculture (Private)","Commercial Agriculture","200","Bare areas",8.23071744
"1951",2016,"BW","Mixed (Private)","Arable/pastoral/built","200","Bare areas",5.27839488
"1952",2008,"BW","Wildlife (State)","Wildlife","200","Bare areas",0.35785728
"1953",2016,"BW","Wildlife (State)","Wildlife","200","Bare areas",0.35785728
"1954",2014,"BW","Commercial Agriculture (Private)","Commercial Agriculture","200","Bare areas",8.67803904
"1955",1994,"BW","Mixed (Private)","Arable/pastoral/built","200","Bare areas",5.54678784
"1956",2001,"ZW","Mixed (Private)","Mining/pastoral/bush/built","200","Bare areas",0.35785728
"1957",2010,"ZW","Mixed (Private)","Mining/pastoral/bush/built","200","Bare areas",0.35785728
"1958",2011,"ZW","Mixed (Private)","Arable/pastoral/built/mining","200","Bare areas",8.4991104
"1959",2000,"BW","Commercial Agriculture (Private)","Commercial Agriculture","200","Bare areas",8.23071744
"1960",2017,"BW","Commercial Agriculture (Private)","Commercial Agriculture","200","Bare areas",8.67803904
"1961",2002,"BW","Wildlife (State)","Wildlife","200","Bare areas",0.35785728
"1962",1998,"ZW","Mixed (Private)","Mining/pastoral/bush/built","200","Bare areas",0.35785728
"1963",2018,"BW","Commercial Agriculture (Private)","Commercial Agriculture","200","Bare areas",8.67803904
"1964",2012,"BW","Commercial Agriculture (Private)","Commercial Agriculture","200","Bare areas",8.85696768
"1965",1992,"BW","Mixed (Private)","Arable/pastoral/built","200","Bare areas",5.54678784
"1966",2015,"ZW","Mixed (Private)","Mining/pastoral/bush/built","200","Bare areas",0.35785728
"1967",2003,"BW","Commercial Agriculture (Private)","Commercial Agriculture","200","Bare areas",8.23071744
"1968",2010,"ZW","Mixed (Private)","Arable/pastoral/built/mining","200","Bare areas",8.4991104
"1969",2017,"BW","Wildlife (State)","Wildlife","200","Bare areas",0.35785728
"1970",2010,"BW","Wildlife (State)","Wildlife","200","Bare areas",0.35785728
"1971",2012,"ZW","Mixed (Private)","Arable/pastoral/built/mining","200","Bare areas",8.4991104
"1972",2003,"ZW","Mixed (Private)","Mining/pastoral/bush/built","200","Bare areas",0.35785728
"1973",2011,"ZW","Mixed (Private)","Mining/pastoral/bush/built","200","Bare areas",0.35785728
"1974",1993,"ZW","Mixed (Private)","Mining/pastoral/bush/built","200","Bare areas",0.4473216
"1975",2015,"BW","Mixed (Private)","Arable/pastoral/built","200","Bare areas",5.27839488
"1976",2006,"BW","Wildlife (State)","Wildlife","200","Bare areas",0.35785728
"1977",2007,"BW","Mixed (Private)","Arable/pastoral/built","200","Bare areas",5.54678784
"1978",2007,"BW","Wildlife (State)","Wildlife","200","Bare areas",0.35785728
"1979",2009,"ZW","Mixed (Private)","Mining/pastoral/bush/built","200","Bare areas",0.35785728
"1980",2006,"BW","Commercial Agriculture (Private)","Commercial Agriculture","200","Bare areas",8.23071744
"1981",2004,"BW","Mixed (Private)","Arable/pastoral/built","200","Bare areas",5.54678784
"1982",1996,"ZW","Mixed (Private)","Arable/pastoral/built/mining","200","Bare areas",8.85696768
"1983",1994,"ZW","Mixed (Private)","Mining/pastoral/bush/built","200","Bare areas",0.4473216
"1984",2016,"ZW","Mixed (Private)","Mining/pastoral/bush/built","200","Bare areas",0.35785728
"1985",2005,"BW","Mixed (Private)","Arable/pastoral/built","200","Bare areas",5.54678784
"1986",2004,"ZW","Mixed (Private)","Arable/pastoral/built/mining","200","Bare areas",8.76750336
"1987",1992,"BW","Commercial Agriculture (Private)","Commercial Agriculture","200","Bare areas",8.23071744
"1988",1994,"BW","Commercial Agriculture (Private)","Commercial Agriculture","200","Bare areas",8.23071744
"1989",2013,"BW","Wildlife (State)","Wildlife","200","Bare areas",0.35785728
"1990",2014,"BW","Mixed (Private)","Arable/pastoral/built","200","Bare areas",5.27839488
"1991",1996,"BW","Commercial Agriculture (Private)","Commercial Agriculture","200","Bare areas",8.23071744
"1992",2018,"ZW","Mixed (Private)","Arable/pastoral/built/mining","200","Bare areas",3.1312512
"1993",2013,"BW","Commercial Agriculture (Private)","Commercial Agriculture","200","Bare areas",8.85696768
"1994",1996,"BW","Mixed (Private)","Arable/pastoral/built","200","Bare areas",5.54678784
"1995",1992,"ZW","Mixed (Private)","Mining/pastoral/bush/built","200","Bare areas",0.4473216
"1996",2016,"BW","Commercial Agriculture (Private)","Commercial Agriculture","200","Bare areas",8.67803904
"1997",2015,"BW","Commercial Agriculture (Private)","Commercial Agriculture","200","Bare areas",8.67803904
"1998",2006,"ZW","Mixed (Private)","Mining/pastoral/bush/built","200","Bare areas",0.35785728
"1999",1993,"ZW","Mixed (Private)","Arable/pastoral/built/mining","200","Bare areas",8.85696768
"2000",1995,"ZW","Mixed (Private)","Mining/pastoral/bush/built","200","Bare areas",0.35785728
"2001",2006,"BW","Mixed (Private)","Arable/pastoral/built","200","Bare areas",5.54678784
"2002",2000,"ZW","Mixed (Private)","Mining/pastoral/bush/built","200","Bare areas",0.35785728
"2003",2008,"ZW","Mixed (Private)","Mining/pastoral/bush/built","200","Bare areas",0.35785728
"2004",2018,"BW","Mixed (Private)","Arable/pastoral/built","200","Bare areas",5.27839488
"2005",2007,"ZW","Mixed (Private)","Mining/pastoral/bush/built","200","Bare areas",0.35785728
"2006",2007,"BW","Commercial Agriculture (Private)","Commercial Agriculture","200","Bare areas",8.23071744
"2007",2009,"BW","Wildlife (State)","Wildlife","200","Bare areas",0.35785728
"2008",2005,"ZW","Mixed (Private)","Mining/pastoral/bush/built","200","Bare areas",0.35785728
"2009",2005,"BW","Wildlife (State)","Wildlife","200","Bare areas",0.35785728
"2010",2009,"BW","Commercial Agriculture (Private)","Commercial Agriculture","200","Bare areas",8.23071744
"2011",1997,"ZW","Mixed (Private)","Arable/pastoral/built/mining","200","Bare areas",8.76750336
"2012",1998,"BW","Commercial Agriculture (Private)","Commercial Agriculture","200","Bare areas",8.23071744
"2013",2005,"ZW","Wildlife (Communal)","Wildlife","210","Water bodies",10.37786112
"2014",1996,"ZW","Wildlife (Communal)","Wildlife","210","Water bodies",10.37786112
"2015",2016,"ZW","Mixed (Private)","Arable/pastoral/built/mining","210","Water bodies",1.16303616
"2016",2003,"ZW","Wildlife (State)","Wildlife","210","Water bodies",3.5785728
"2017",2011,"ZW","Wildlife (State)","Wildlife","210","Water bodies",0.17892864
"2018",1993,"ZW","Mixed (Private)","Arable/pastoral/built/mining","210","Water bodies",1.25250048
"2019",2012,"ZW","Wildlife (State)","Wildlife","210","Water bodies",3.5785728
"2020",1997,"ZW","Wildlife (State)","Wildlife","210","Water bodies",3.5785728
"2021",2015,"ZW","Wildlife (State)","Wildlife","210","Water bodies",0.17892864
"2022",1992,"ZW","Wildlife (State)","Wildlife","210","Water bodies",3.5785728
"2023",2018,"ZW","Mixed (Private)","Arable/pastoral/built/mining","210","Water bodies",1.16303616
"2024",2016,"ZW","Wildlife (State)","Wildlife","210","Water bodies",0.17892864
"2025",2005,"ZW","Wildlife (State)","Wildlife","210","Water bodies",3.5785728
"2026",1998,"ZW","Wildlife (Communal)","Wildlife","210","Water bodies",10.37786112
"2027",2004,"ZW","Mixed (Private)","Arable/pastoral/built/mining","210","Water bodies",1.25250048
"2028",2014,"ZW","Wildlife (State)","Wildlife","210","Water bodies",3.5785728
"2029",2017,"ZW","Wildlife (State)","Wildlife","210","Water bodies",3.31017984
"2030",2002,"ZW","Mixed (Private)","Arable/pastoral/built/mining","210","Water bodies",1.25250048
"2031",1997,"ZW","Wildlife (Communal)","Wildlife","210","Water bodies",10.37786112
"2032",2003,"ZW","Wildlife (State)","Wildlife","210","Water bodies",0.17892864
"2033",1994,"ZW","Wildlife (State)","Wildlife","210","Water bodies",0.17892864
"2034",1994,"ZW","Mixed (Private)","Arable/pastoral/built/mining","210","Water bodies",1.25250048
"2035",2013,"ZW","Mixed (Private)","Arable/pastoral/built/mining","210","Water bodies",1.25250048
"2036",1999,"ZW","Mixed (Private)","Arable/pastoral/built/mining","210","Water bodies",1.25250048
"2037",2004,"ZW","Wildlife (Communal)","Wildlife","210","Water bodies",10.37786112
"2038",2014,"ZW","Mixed (Private)","Arable/pastoral/built/mining","210","Water bodies",1.25250048
"2039",2006,"ZW","Mixed (Private)","Arable/pastoral/built/mining","210","Water bodies",1.25250048
"2040",2011,"ZW","Wildlife (State)","Wildlife","210","Water bodies",3.5785728
"2041",2002,"ZW","Wildlife (State)","Wildlife","210","Water bodies",0.17892864
"2042",1998,"ZW","Wildlife (State)","Wildlife","210","Water bodies",3.5785728
"2043",2012,"ZW","Wildlife (Communal)","Wildlife","210","Water bodies",10.37786112
"2044",1995,"ZW","Mixed (Private)","Arable/pastoral/built/mining","210","Water bodies",1.25250048
"2045",2000,"ZW","Mixed (Private)","Arable/pastoral/built/mining","210","Water bodies",1.25250048
"2046",1992,"ZW","Wildlife (Communal)","Wildlife","210","Water bodies",10.37786112
"2047",2007,"ZW","Mixed (Private)","Arable/pastoral/built/mining","210","Water bodies",1.25250048
"2048",2005,"ZW","Mixed (Private)","Arable/pastoral/built/mining","210","Water bodies",1.25250048
"2049",2010,"ZW","Wildlife (Communal)","Wildlife","210","Water bodies",10.37786112
"2050",2001,"ZW","Wildlife (Communal)","Wildlife","210","Water bodies",10.37786112
"2051",1998,"ZW","Wildlife (State)","Wildlife","210","Water bodies",0.17892864
"2052",2016,"ZW","Wildlife (State)","Wildlife","210","Water bodies",3.31017984
"2053",1999,"ZW","Wildlife (State)","Wildlife","210","Water bodies",3.5785728
"2054",2009,"ZW","Wildlife (State)","Wildlife","210","Water bodies",0.17892864
"2055",2017,"ZW","Wildlife (Communal)","Wildlife","210","Water bodies",10.82518272
"2056",2012,"ZW","Mixed (Private)","Arable/pastoral/built/mining","210","Water bodies",1.25250048
"2057",1997,"ZW","Wildlife (State)","Wildlife","210","Water bodies",0.17892864
"2058",2005,"ZW","Wildlife (State)","Wildlife","210","Water bodies",0.17892864
"2059",2000,"ZW","Wildlife (Communal)","Wildlife","210","Water bodies",10.37786112
"2060",2018,"ZW","Wildlife (State)","Wildlife","210","Water bodies",0.17892864
"2061",1999,"ZW","Wildlife (State)","Wildlife","210","Water bodies",0.17892864
