"country","date","land use (tenure)","area_km2","npp"
"BW",2006-07-15,"Commercial Agriculture (Private)",285.644852714432,2058.93898844719
"BW",2006-07-15,"Forest (State)",2525.80424739454,26490.4392048717
"BW",2006-07-15,"Mixed (Private)",2796.3728082893,23848.5156729817
"BW",2006-07-15,"Wildlife (State)",405.799737951947,3880.88388621807
"BW",2006-08-15,"Commercial Agriculture (Private)",285.644852714432,1081.45864599943
"BW",2006-08-15,"Forest (State)",2525.80424739454,16235.5175893307
"BW",2006-08-15,"Mixed (Private)",2796.3728082893,13564.30303967
"BW",2006-08-15,"Wildlife (State)",405.799737951947,2247.15355953574
"BW",2006-09-15,"Commercial Agriculture (Private)",285.644852714432,-57.0944891180843
"BW",2006-09-15,"Forest (State)",2525.80424739454,-1565.90941911191
"BW",2006-09-15,"Mixed (Private)",2796.3728082893,-453.639768410474
"BW",2006-09-15,"Wildlife (State)",405.799737951947,-30.927167031914
"BW",2006-10-15,"Commercial Agriculture (Private)",285.644852714432,-655.7362241745
"BW",2006-10-15,"Forest (State)",2525.80424739454,-11905.6041961312
"BW",2006-10-15,"Mixed (Private)",2796.3728082893,-7683.61021912098
"BW",2006-10-15,"Wildlife (State)",405.799737951947,-1129.02757459879
"BW",2006-11-15,"Commercial Agriculture (Private)",285.644852714432,-80.1555125061423
"BW",2006-11-15,"Forest (State)",2525.80424739454,-2773.2322948724
"BW",2006-11-15,"Mixed (Private)",2796.3728082893,-1293.4035474062
"BW",2006-11-15,"Wildlife (State)",405.799737951947,-316.222433075309
"BW",2006-12-15,"Commercial Agriculture (Private)",285.644852714432,876.271655976772
"BW",2006-12-15,"Forest (State)",2525.80424739454,12450.9116213024
"BW",2006-12-15,"Mixed (Private)",2796.3728082893,11964.9134812057
"BW",2006-12-15,"Wildlife (State)",405.799737951947,1642.87207022309
"BW",2007-01-15,"Commercial Agriculture (Private)",285.644852714432,2913.93899703026
"BW",2007-01-15,"Forest (State)",2525.80424739454,41719.2185024023
"BW",2007-01-15,"Mixed (Private)",2796.3728082893,39593.053430438
"BW",2007-01-15,"Wildlife (State)",405.799737951947,6163.54129219055
"BW",2007-02-15,"Commercial Agriculture (Private)",285.644852714432,3110.32679927349
"BW",2007-02-15,"Forest (State)",2525.80424739454,39290.0161888599
"BW",2007-02-15,"Mixed (Private)",2796.3728082893,41607.8072850704
"BW",2007-02-15,"Wildlife (State)",405.799737951947,6763.54127812386
"BW",2007-03-15,"Commercial Agriculture (Private)",285.644852714432,2557.12793004513
"BW",2007-03-15,"Forest (State)",2525.80424739454,28855.2715233564
"BW",2007-03-15,"Mixed (Private)",2796.3728082893,32253.8014342785
"BW",2007-03-15,"Wildlife (State)",405.799737951947,4902.89167749882
"BW",2007-04-15,"Commercial Agriculture (Private)",285.644852714432,1430.53345578909
"BW",2007-04-15,"Forest (State)",2525.80424739454,18001.147697866
"BW",2007-04-15,"Mixed (Private)",2796.3728082893,18876.990232408
"BW",2007-04-15,"Wildlife (State)",405.799737951947,2809.26966255903
"BW",2007-05-15,"Commercial Agriculture (Private)",285.644852714432,1379.21453273296
"BW",2007-05-15,"Forest (State)",2525.80424739454,17652.8997035623
"BW",2007-05-15,"Mixed (Private)",2796.3728082893,16514.7264430523
"BW",2007-05-15,"Wildlife (State)",405.799737951947,2536.90742665529
"BW",2007-06-15,"Commercial Agriculture (Private)",285.644852714432,1422.47243648767
"BW",2007-06-15,"Forest (State)",2525.80424739454,21026.1575371027
"BW",2007-06-15,"Mixed (Private)",2796.3728082893,18349.1850760579
"BW",2007-06-15,"Wildlife (State)",405.799737951947,2918.72834318876
"BW",2007-07-15,"Commercial Agriculture (Private)",285.644852714432,1151.26181584597
"BW",2007-07-15,"Forest (State)",2525.80424739454,17696.9548221827
"BW",2007-07-15,"Mixed (Private)",2796.3728082893,14914.1849299669
"BW",2007-07-15,"Wildlife (State)",405.799737951947,2323.09841534495
"BW",2007-08-15,"Commercial Agriculture (Private)",285.644852714432,466.517720103264
"BW",2007-08-15,"Forest (State)",2525.80424739454,6828.33270803094
"BW",2007-08-15,"Mixed (Private)",2796.3728082893,5524.36219252646
"BW",2007-08-15,"Wildlife (State)",405.799737951947,809.574810415506
"BW",2007-09-15,"Commercial Agriculture (Private)",285.644852714432,-481.612211257219
